body_fraction_bits,head_fraction_bits,total_weights,changed_weights,fraction_bits,dropped_bits,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
12,12,864,864,12,36,0,0,34289462110,15095831130367,0,17472026771.258102,742cbd6d0b750bf3d164a23d97390171e3fe545ee9d87a2b0e843d3d8d1ae9f4,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,1d1418d619c96a79eed0db6f5a4a19957b608a27645e3fb8af2e3393e96e7e15,20,,122,122,122,122,640685315014,0:0,0:0,,
12,13,864,864,13,35,0,0,17165221456,7681324896209,0,8890422333.575232,09e9dc67273e32653475123a13d505e46c264de28579a3f35c706adfd5e46a80,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,cbd0702c5f852361f846d23670235582d874bc650aa20d8df9a3454c47353ced,20,,122,122,122,122,627681785690,0:0,0:0,,
12,14,864,864,14,34,0,0,8585862231,3689678461577,0,4270461182.380787,2eb7df7339881e74d89fa193b56c2761aad3038443e0c7738d949082ac5d6bc2,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,9fad94a0024693d7c38c2d05c18a6ececebdd6b8e039ba4bd2567aee59804348,20,,122,122,122,122,657901005139,0:0,0:0,,
12,16,864,864,16,32,0,0,2144910689,910303304825,0,1053591787.9918982,4b40b4a14d365104908c3a27f33cb9858c6ccd21b454d86cbcca8c0a5bfd0fda,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,e689bcf6989743ea66f95d4ef0f43b462a3d75cec83ff7edf413ae36cdc5d437,20,,122,122,122,122,617868765909,0:0,0:0,,
12,24,864,864,24,24,0,0,8384577,3632299571,0,4204050.429398148,164bd5f00b8f6aec960e44d801e0d4aa592d6958ffd768b9897cfe05cb0fd7e8,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,6ac50148d269eed9fb6fd56bbbb744d8fef845f0bbab6e7ced6a968d7c088899,20,,122,122,122,122,622288506543,0:0,0:0,,
12,48,864,0,48,0,0,0,0,0,0,0.0,bbc31e7f35a562c2a8c9eddf23c774e2e1b48c659cadcda5a0a5756be15a6f18,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,6e906a8e0e2f9de1db5a6fdaa87dae9f6c7dd60e28c239a9fdb8f4b8e90ad658,20,,122,122,122,122,622309097255,0:0,0:0,,
11,11,864,864,11,37,0,1,68572470046,30652763421155,0,35477735441.15162,1a71a22f0901cea0e37d26872717c2d4db874f294b742fd7572fca196caa2051,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,757b354d5f1ab21a2a989f59f657b473a5bd2e1b2f3ce66688139618bb6275b5,20,,122,122,122,121,916817654565,0:0,0:0,,15:5
11,12,864,864,12,36,0,0,34289462110,15095831130367,0,17472026771.258102,e0b9aedf687154cfe3a1309b7810ef0aee37396b8a3c759774caa16e6ff7a1be,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,bde51f0b8c27b00fe968d708deadd5fe1032a04f63bddd9dcd1122ca091e7849,20,,122,122,122,122,1176543442058,0:0,0:0,,
11,13,864,864,13,35,0,0,17165221456,7681324896209,0,8890422333.575232,c17e7cf25e7a168bfb4f4cf07b7daed8edee648d1c1fe4d281fec9f04e8e88b7,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,18b8f99d062f43338af3a25fde95f04168dbd557eaaa7bfb11662e4f04a9602b,20,,122,122,122,122,1049776322130,0:0,0:0,,
11,14,864,864,14,34,0,0,8585862231,3689678461577,0,4270461182.380787,3d0af4bc961a13799efb09ddf5468c46a8b79b1e4fbb1e95dc2af4c4b48a46a5,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,6713f5202ab15b376101fbc0654e1ede804d8030522bbf2b7a5af36376e267b8,20,,122,122,122,122,1027824487127,0:0,0:0,,
11,16,864,864,16,32,0,0,2144910689,910303304825,0,1053591787.9918982,95f211ac0c99eeaa45457dc6b206b4d3c1a13c72acff8c517cf3d03199d47099,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,457215718708e1d33c93d2a0defc95f1cdea9ea55b4bfe87fd3739665cc3e933,20,,122,122,122,122,1052334725903,0:0,0:0,,
11,24,864,864,24,24,0,0,8384577,3632299571,0,4204050.429398148,e17f7fc6c10ca81239af9c4375194cfd3f316c3a383342d331ca4f260761b569,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,8f8c6f4b194c243b04c04132c3aca3a206ea078b67d2c0aed8b92c55491b565c,20,,122,122,122,122,1046928176416,0:0,0:0,,
