mode,group,rounded_tensors,fraction_bits,dropped_bits,total_weights,changed_weights,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
all,all tensors rounded,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",11,37,14272,14272,0,16,68717444174,492330024235234,0,34496218065.809555,1a71a22f0901cea0e37d26872717c2d4db874f294b742fd7572fca196caa2051,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,757b354d5f1ab21a2a989f59f657b473a5bd2e1b2f3ce66688139618bb6275b5,20,,122,122,122,121,916817654565,0:0,0:0,,15:5
only,token_embedding,wte,11,37,864,864,0,1,68502704885,29560025198811,0,34212992128.25347,7c3331575bf3ad94a2de062adffb67b0be6cb0a5894ac25c292671e0d7d7de0f,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,780aaa28d72847226ce57894773415c48f440f1d6b0e50aeb8213d2475d1f836,20,,122,122,122,122,220155162345,0:0,0:0,,
only,position_embedding,wpe,11,37,256,256,0,0,68425881363,9007717486098,0,35186396430.07031,c69bea7c406503cc2aeb78726a601b5fd8f520071e13bd73df46b555c55d98ea,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,232b4d360d30b97cd002913d0a96ef40e77c02c0f3ced1e95e78b5832691697b,20,,122,122,122,122,382761097386,0:0,0:0,,
only,language_head,lm_head,11,37,864,864,0,1,68572470046,30652763421155,0,35477735441.15162,e5fd1cf5162e4d375f5f3ee00451bf9a41ff79ad1841dc790a9eabf25ccc7c61,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,2cdd137e8dc8b49cfd91fea4c6863fd75f62e7f03e57ab8c83b3506fd9dadd46,20,,122,122,122,121,397494022583,0:0,0:0,,15:5
only,attention_qkv,"layers.0.attn_wk,layers.0.attn_wq,layers.0.attn_wv",11,37,3072,3072,0,3,68717444174,104776089532777,0,34106799978.11751,8a2a37bfedb8b85f688f90ad2613facd33ae2020565e809ac9a7d6796f90c8e3,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,4b4aedb1a038cab0f21595ce6382305f2864dbcaa17010c735785a0a77717af4,20,,122,122,122,122,270087374350,0:0,0:0,,
only,attention_output,layers.0.attn_wo,11,37,1024,1024,0,1,68681142712,35254415987775,0,34428140613.06152,b4b301536d088076284952eede086e53550ef51c442c4aeef8e2fc43d6eb1880,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,fe4d195dd500b5aa65fd66ae909e7f7473851620698c38cc2fe04dac2d037e24,20,,122,122,122,122,262934722236,0:0,0:0,,
only,mlp_fc1,layers.0.mlp_fc1,11,37,4096,4096,0,4,68698019683,140677713724369,0,34345144952.238525,f67a3772bd6ae4a184995dc414baef68ad88a3d444d43ef9c9dabe7539404685,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,7cf673c52cb5186f9e950a6891e5aa0d89f3c4de31ff283a17b4aea9ada34faa,20,,122,122,122,122,852208558238,0:0,0:0,,
only,mlp_fc2,layers.0.mlp_fc2,11,37,4096,4096,0,6,68708192909,142401298884249,0,34765942110.41235,088cbc2af985dffd791f882a91739f1c45951488c0b52d59983127d30ab8e217,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,a03ba63f5f4985860ee490ff4077baa144b0dc3009dcc180b930ae1908fd06df,20,,122,122,122,122,240496200347,0:0,0:0,,
rescue,token_embedding,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe",11,37,13408,13408,0,15,68717444174,462769999036423,0,34514468901.88119,25e4a9addb6d5ab831d1f4650ff543b87587f18b475ddb7e1a6d941c73ac50f2,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,718f21bfb756d35b59260055a6eff92f5d1c0c572fc34cafff20f56d64f0dba5,20,,122,122,122,121,818161811917,0:0,0:0,,15:5
rescue,position_embedding,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wte",11,37,14016,14016,0,16,68717444174,483322306749136,0,34483612068.28881,8378d172144e5f8bcd7e802a8cff448618911343c6b7680b03522b74706ca8c6,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,ca828ed8d7d6ba7fa85a6dfce9023b8d5d1670e9175136170148bd41a618c776,20,,122,122,122,122,1020886361273,0:0,0:0,,
rescue,language_head,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,wpe,wte",11,37,13408,13408,0,15,68717444174,461677260814079,0,34432969929.451,9afd57727d673d806bb832ce0a1f9ee7cdc3f35840dbc15658f5dc51ae6da999,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,f97872ea217e59b4479a597f7cc5a86785983348496cb2d52cee9ce545a8d596,20,,122,122,122,122,1046902736848,0:0,0:0,,
rescue,attention_qkv,"layers.0.attn_wo,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",11,37,11200,11200,0,13,68708192909,387553934702457,0,34603029884.14795,4e26e6f9c9dfb52efba52c6ea2464ffcdf82808a3e2c5603980ee6a82dd23cfc,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,b015f716687adcf6706607fc8fe5539d4678d677f06ef3927785232f63d99857,20,,122,122,122,121,1011539710025,0:0,0:0,,15:5
rescue,attention_output,"layers.0.attn_wk,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",11,37,13248,13248,0,15,68717444174,457075608247459,0,34501480091.14274,da932c5c4e1e2f91ec8c0916288cf2cdb274a4314dab07114ba043f6056dcf96,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,98f7407b9e87beaa942acf73125e43c38fa8611fdc299898d0b3ac4e264cf791,20,,122,122,122,121,902292558084,0:0,0:0,,15:5
rescue,mlp_fc1,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc2,lm_head,wpe,wte",11,37,10176,10176,0,12,68717444174,351652310510865,0,34557027369.385315,083cc7ad9b5e0579c9f5bcd1a9b45b7a6ea6b5962f8d0aaf532b7bd93bab199f,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,ddb55bd4859b013fb6f196bef22dd4054a4e0b42e035dd1db4a546164120dfff,20,,122,122,122,121,663057403663,0:0,0:0,,15:5
rescue,mlp_fc2,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,lm_head,wpe,wte",11,37,10176,10176,0,10,68717444174,349928725350985,0,34387649896.912834,093b84592cd0539c2216fca0dd4e4ec4f995a5538b811bd16a9e2501af7620cb,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,8070c905a5a9ac48a9f911ce3ffdda3f6ae95eeee4087648274726dbb2978ac1,20,,122,122,122,122,917879183904,0:0,0:0,,
