fraction_bits,dropped_bits,total_weights,changed_weights,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
48,0,14272,0,0,0,0,0,0,0.0,466cfe9dba7b888cdaa23dedf4b10351826795793448c8e95dcb0f7a61ed33eb,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,644886296deeb4563314d2d1ed39f58ba388120a75d22d2043179f71b7af4af3,20,,122,122,122,122,0,,,,
47,1,14272,7154,0,0,1,7154,0,0.5012612107623319,53a5f0b06e64303dc5096de8ada5ed34f0f3fb6c019b889b49978a7c1c66b846,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,e3b7ad984f008c450d96b880818bf73d3b5700570070a4ebfa542dbc50a4cca0,20,,122,122,122,122,38,0:0,,,
46,2,14272,10707,0,0,2,14260,0,0.9991591928251121,ab9ddb5f808755fb988a1ebc6cc3dd2b7579026d12dd54f3cca1b97c4da85250,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,7396bdea7252a0bdc5bfbc8a1d2745eed965ab034907abad5d9374cf1155dfef,20,,122,122,122,122,70,0:0,17:3,,
45,3,14272,12486,0,0,4,28408,0,1.9904708520179373,313967870536e21b00e54b60005355be88c8aa465ada5e064d06fc778d32bc34,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,4c3a2be6de6b76a579d371d47b2e9b7d8cc98ddad576e543e0e81a010222b53e,20,,122,122,122,122,86,0:0,16:3,,
44,4,14272,13378,0,0,8,57336,0,4.0173766816143495,c46940a802a1059705d080fdfba952083a6c38360cb0686dfd978a72a2419918,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,076578a9571e88edf21581ad6a2991ff38a74891db372a9c7f1f5829e7391100,20,,122,122,122,122,224,0:0,6:3,,
43,5,14272,13816,0,0,16,113942,0,7.983604260089686,90145b831aa203d94527c7b71d4cecc33780fc9d109827ae7636ff5bd1d230a2,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,e69eef30ac591da300518f9c8f0d03430652bbf0c2efbbd3f601afe89255ff6b,20,,122,122,122,122,342,0:0,0:0,,
42,6,14272,14040,0,0,32,228966,0,16.04302130044843,0d05bdac1a90cbe3be48056eb5cb244d1033f0b9d830857deefae5e7e6fb53e2,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,abddd545701433bb7747482ac5d6f5084821598f07bbfce94788530a4b612821,20,,122,122,122,122,589,0:0,0:0,,
41,7,14272,14157,0,0,64,455294,0,31.901205156950674,fe2107a1988a4e4bc7528b47fc6645d95fa7fa9fae86883f779d2919ba3ec158,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,49816153fb44cd3c9dc237709542013ab68a38a6a81686c59a43257934e5ff1d,20,,122,122,122,122,1689,0:0,0:0,,
40,8,14272,14210,0,0,128,920200,0,64.47589686098655,57862a8b8b888d536045d59893a97742865a165c151a2e9d63b16f2921ebbe20,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,7c80ba32594a96e3eaab05db6f1ae3f03c5640a9fca5d73a25a76c0e37afcfcc,20,,122,122,122,122,4485,0:0,0:0,,
39,9,14272,14240,0,0,256,1807684,0,126.65947309417041,7c1bb28b0041ed8d1e1abbed285ec307978a6ad7cf7b74472b58e48ae49ba81d,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,0ad7e1e42a884e24ea2b34d03a42945e8d165d2e3d4bdcc28699675240e86954,20,,122,122,122,122,5371,0:0,0:0,,
